x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,,
0.33,0.33,0.46,0.34,0.35,0.38,0.17,0.3,0.34,0.31,,0.331
0.34,0.33,0.46,0.34,0.35,0.38,0.17,0.3,0.34,0.31,,0.332
0.31,0.28,0.46,0.32,0.35,0.38,0.17,0.3,0.34,0.31,,0.322
0.31,0.28,0.46,0.32,0.35,0.32,0.17,0.3,0.31,0.3,,0.312
0.3,0.28,0.46,0.32,0.35,0.3,0.17,0.3,0.31,0.28,,0.307
0.3,0.28,0.46,0.32,0.35,0.3,0.17,0.3,0.31,0.28,,0.307
0.3,0.28,0.46,0.32,0.35,0.3,0.17,0.3,0.31,0.28,,0.307
0.3,0.28,0.46,0.32,0.35,0.3,0.17,0.3,0.31,0.28,,0.307
0.3,0.33,0.46,0.32,0.32,0.3,0.17,0.3,0.31,0.28,,0.309
0.3,0.33,0.46,0.3,0.32,0.3,0.17,0.3,0.31,0.28,,0.307
0.3,0.33,0.46,0.3,0.32,0.3,0.17,0.3,0.3,0.28,,0.306
0.3,0.3,0.46,0.3,0.32,0.31,0.17,0.3,0.3,0.28,,0.304
0.3,0.3,0.46,0.3,0.32,0.31,0.18,0.3,0.3,0.28,,0.305
0.28,0.28,0.46,0.27,0.32,0.31,0.18,0.28,0.3,0.25,,0.293
0.28,0.28,0.42,0.27,0.32,0.31,0.18,0.27,0.3,0.26,,0.289
0.28,0.28,0.42,0.27,0.28,0.29,0.18,0.27,0.3,0.26,,0.283
0.28,0.28,0.42,0.27,0.28,0.29,0.18,0.27,0.27,0.26,,0.28
0.28,0.29,0.42,0.27,0.28,0.29,0.18,0.27,0.22,0.26,,0.276
0.28,0.29,0.42,0.27,0.28,0.29,0.18,0.27,0.18,0.26,,0.272
0.24,0.29,0.42,0.27,0.28,0.29,0.19,0.26,0.18,0.26,,0.268
0.25,0.29,0.4,0.27,0.27,0.29,0.19,0.24,0.18,0.26,,0.264
0.25,0.26,0.36,0.26,0.27,0.29,0.19,0.24,0.15,0.27,,0.254
0.25,0.26,0.34,0.26,0.27,0.29,0.19,0.24,0.15,0.22,,0.247
0.25,0.26,0.34,0.26,0.27,0.29,0.19,0.24,0.15,0.22,,0.247
0.25,0.25,0.29,0.26,0.27,0.28,0.17,0.24,0.15,0.22,,0.238
0.25,0.25,0.29,0.26,0.26,0.28,0.17,0.24,0.1,0.22,,0.232
0.25,0.25,0.25,0.26,0.26,0.28,0.17,0.24,0.1,0.22,,0.228
0.25,0.25,0.25,0.2,0.26,0.28,0.18,0.24,0.1,0.22,,0.223
0.25,0.25,0.25,0.18,0.26,0.28,0.18,0.24,0.1,0.22,,0.221
0.25,0.25,0.25,0.18,0.26,0.28,0.18,0.24,0.1,0.22,,0.221
0.25,0.25,0.25,0.18,0.26,0.25,0.15,0.24,0.1,0.22,,0.215
0.25,0.25,0.25,0.18,0.26,0.25,0.15,0.19,0.1,0.22,,0.21
0.25,0.25,0.25,0.18,0.26,0.25,0.15,0.19,0.1,0.22,,0.21
0.25,0.23,0.25,0.18,0.26,0.25,0.15,0.19,0.1,0.21,,0.207
0.25,0.22,0.25,0.18,0.26,0.25,0.15,0.19,0.1,0.14,,0.199
0.25,0.22,0.25,0.18,0.26,0.25,0.15,0.19,0.1,0.14,,0.199
0.25,0.22,0.25,0.18,0.26,0.26,0.14,0.2,0.1,0.14,,0.2
0.25,0.22,0.24,0.18,0.26,0.26,0.14,0.2,0.1,0.14,,0.199
0.25,0.22,0.24,0.18,0.26,0.26,0.14,0.19,0.1,0.17,,0.201
0.25,0.22,0.24,0.18,0.26,0.26,0.13,0.19,0.1,0.17,,0.2
0.25,0.22,0.24,0.18,0.24,0.26,0.12,0.19,0.1,0.17,,0.197
0.25,0.22,0.24,0.18,0.24,0.26,0.12,0.19,0.1,0.17,,0.197
0.26,0.22,0.24,0.18,0.23,0.26,0.12,0.18,0.1,0.16,,0.195
0.26,0.22,0.24,0.18,0.23,0.26,0.12,0.18,0.1,0.16,,0.195
