x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,,,
0.81,0.43,0.57,0.69,0.65,0.57,0.76,0.6,0.62,0.59,,0.629,0.107025438
0.81,0.43,0.57,0.69,0.65,0.57,0.76,0.6,0.62,0.57,,0.627,0.108017488
0.74,0.48,0.54,0.55,0.65,0.55,0.73,0.6,0.61,0.57,,0.602,0.083639438
0.74,0.43,0.52,0.57,0.62,0.48,0.73,0.62,0.62,0.57,,0.59,0.098994949
0.69,0.43,0.51,0.52,0.54,0.48,0.71,0.62,0.62,0.55,,0.567,0.090682597
0.68,0.43,0.54,0.52,0.53,0.48,0.71,0.62,0.58,0.55,,0.564,0.086306946
0.68,0.43,0.54,0.52,0.53,0.46,0.71,0.66,0.58,0.56,,0.567,0.092261705
0.68,0.43,0.54,0.52,0.53,0.46,0.71,0.53,0.58,0.56,,0.554,0.086692304
0.68,0.43,0.52,0.52,0.52,0.46,0.71,0.51,0.58,0.55,,0.548,0.088292443
0.69,0.43,0.52,0.52,0.52,0.43,0.71,0.51,0.58,0.55,,0.546,0.093713511
0.68,0.43,0.51,0.49,0.51,0.43,0.72,0.51,0.6,0.53,,0.541,0.097233968
0.59,0.43,0.51,0.49,0.51,0.43,0.7,0.46,0.6,0.53,,0.525,0.084623348
0.53,0.37,0.51,0.48,0.51,0.43,0.7,0.46,0.6,0.51,,0.51,0.09067647
0.53,0.37,0.51,0.48,0.51,0.43,0.7,0.46,0.59,0.47,,0.505,0.090461778
0.46,0.36,0.49,0.48,0.51,0.42,0.7,0.44,0.59,0.47,,0.492,0.094375138
0.46,0.36,0.49,0.47,0.51,0.42,0.7,0.44,0.59,0.51,,0.495,0.094428103
0.46,0.36,0.49,0.48,0.51,0.4,0.65,0.43,0.59,0.51,,0.488,0.08560893
0.46,0.36,0.49,0.46,0.51,0.4,0.61,0.43,0.59,0.47,,0.478,0.077574337
0.46,0.36,0.49,0.45,0.52,0.4,0.62,0.43,0.6,0.48,,0.481,0.08184674
0.44,0.33,0.49,0.45,0.51,0.4,0.67,0.43,0.6,0.45,,0.477,0.097871798
0.43,0.33,0.49,0.45,0.54,0.39,0.67,0.46,0.59,0.45,,0.48,0.098432154
0.43,0.33,0.47,0.45,0.54,0.41,0.63,0.44,0.59,0.45,,0.474,0.088969408
0.43,0.33,0.46,0.45,0.5,0.41,0.59,0.44,0.56,0.45,,0.462,0.074057035
0.4,0.33,0.46,0.45,0.5,0.37,0.57,0.44,0.56,0.45,,0.453,0.076310768
0.39,0.33,0.45,0.45,0.5,0.37,0.57,0.43,0.56,0.45,,0.45,0.07731609
0.39,0.33,0.47,0.43,0.5,0.37,0.57,0.42,0.55,0.45,,0.448,0.076710133
0.35,0.33,0.46,0.44,0.5,0.36,0.57,0.39,0.55,0.45,,0.44,0.083133093
0.35,0.34,0.43,0.44,0.52,0.34,0.57,0.39,0.55,0.45,,0.438,0.085738621
0.34,0.34,0.41,0.44,0.52,0.32,0.57,0.39,0.52,0.45,,0.43,0.086023253
0.34,0.34,0.42,0.44,0.49,0.32,0.57,0.34,0.52,0.45,,0.423,0.086801178
0.34,0.34,0.4,0.44,0.5,0.32,0.57,0.34,0.48,0.44,,0.417,0.083539744
0.34,0.34,0.4,0.44,0.5,0.39,0.57,0.36,0.45,0.4,,0.419,0.073249953
0.33,0.34,0.4,0.44,0.5,0.39,0.57,0.35,0.45,0.4,,0.417,0.075432089
0.33,0.34,0.4,0.4,0.5,0.39,0.57,0.35,0.44,0.35,,0.407,0.077179445
0.33,0.34,0.37,0.4,0.5,0.39,0.56,0.34,0.44,0.35,,0.402,0.07656515
0.33,0.34,0.36,0.4,0.5,0.34,0.55,0.34,0.44,0.35,,0.395,0.077208232
0.33,0.33,0.36,0.4,0.5,0.34,0.55,0.34,0.4,0.31,,0.386,0.079749608
0.33,0.32,0.36,0.4,0.5,0.34,0.55,0.34,0.4,0.35,,0.389,0.077380733
0.33,0.32,0.35,0.38,0.5,0.35,0.49,0.34,0.4,0.34,,0.38,0.064978629
0.33,0.35,0.35,0.38,0.5,0.35,0.49,0.34,0.4,0.33,,0.382,0.063385943
0.33,0.36,0.35,0.38,0.5,0.37,0.5,0.34,0.34,0.33,,0.38,0.065319726
0.33,0.36,0.35,0.34,0.5,0.37,0.49,0.34,0.33,0.33,,0.374,0.065183502
0.33,0.36,0.35,0.34,0.5,0.36,0.49,0.33,0.33,0.33,,0.372,0.065962953
0.33,0.36,0.35,0.33,0.49,0.36,0.49,0.33,0.33,0.33,,0.37,0.064463599
0.33,0.34,0.32,0.33,0.49,0.36,0.48,0.33,0.33,0.33,,0.364,0.064670103
0.33,0.34,0.34,0.32,0.49,0.36,0.48,0.33,0.33,0.33,,0.365,0.064161255
0.32,0.34,0.34,0.32,0.48,0.38,0.48,0.33,0.33,0.32,,0.364,0.06363088
0.32,0.34,0.34,0.33,0.48,0.38,0.48,0.33,0.34,0.32,,0.366,0.062396581
0.32,0.34,0.32,0.34,0.46,0.38,0.48,0.33,0.34,0.32,,0.363,0.059264004
0.32,0.34,0.32,0.34,0.46,0.38,0.48,0.33,0.34,0.3,,0.361,0.061182786
0.32,0.32,0.31,0.34,0.44,0.38,0.48,0.32,0.34,0.29,,0.354,0.061318839
0.32,0.32,0.35,0.34,0.43,0.38,0.48,0.32,0.34,0.29,,0.357,0.057936747
0.32,0.32,0.35,0.34,0.43,0.38,0.46,0.32,0.34,0.29,,0.355,0.053385391
0.32,0.31,0.35,0.34,0.43,0.38,0.46,0.32,0.34,0.27,,0.352,0.057115867
0.32,0.31,0.35,0.34,0.43,0.38,0.45,0.32,0.34,0.27,,0.351,0.055065617
0.32,0.31,0.35,0.34,0.43,0.38,0.45,0.32,0.39,0.27,,0.356,0.056213877
0.29,0.31,0.32,0.34,0.43,0.32,0.45,0.32,0.39,0.28,,0.345,0.058357138
0.29,0.31,0.32,0.35,0.43,0.32,0.45,0.32,0.39,0.28,,0.346,0.058347617
